REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
D:\Github\Denoise\MMSESTSA\experiment\Calvin.wav	 D:\Github\Denoise\MMSESTSA\experiment\speech_16000_20_84.wav	 SQValue=2.565	 2.565	 0.000	 0	 16000	-13.0840
 Speech/A2_0.wav	 Speech/A2_0.wav	 SQValue=4.500	 4.500	 0.000	 0	 16000	0.0000
 Speech/A2_0.wav	 Noise/pink.wav	 SQValue=0.737	 0.737	 0.000	 0	 16000	13.9720
 D:\Github\Denoise\AutoTesting\Speech\A2_0.wav	 D:\Github\Denoise\AutoTesting\Noise\pink.wav	 SQValue=0.737	 0.737	 0.000	 0	 16000	13.9720
 D:\Github\Denoise\AutoTesting\Speech\A2_0.wav	 D:\Github\Denoise\AutoTesting\Noise\pink.wav	 SQValue=0.737	 0.737	 0.000	 0	 16000	13.9720
 D:\Github\Denoise\AutoTesting\Speech\A2_0.wav	 D:\Github\Denoise\AutoTesting\Noise\pink.wav	 SQValue=0.737	 0.737	 0.000	 0	 16000	13.9720
 D:\Github\Denoise\AutoTesting\Speech\A2_0.wav	 D:\Github\Denoise\AutoTesting\Noise\pink.wav	 SQValue=0.737	 0.737	 0.000	 0	 16000	13.9720
 D:\Github\Denoise\AutoTesting\Speech\A2_0.wav	 D:\Github\Denoise\AutoTesting\Noise\pink.wav	 SQValue=0.737	 0.737	 0.000	 0	 16000	13.9720
 D:\Github\Denoise\AutoTesting\Speech\A2_0.wav	 D:\Github\Denoise\AutoTesting\Noise\pink.wav	 SQValue=0.737	 0.737	 0.000	 0	 16000	13.9720
 D:\Github\Denoise\AutoTesting\Speech/A11_0.wav	 ./Speech_Noise/20/A11_0.wav	 SQValue=3.108	 3.108	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_1.wav	 ./Speech_Noise/20/A11_1.wav	 SQValue=2.983	 2.983	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_10.wav	 ./Speech_Noise/20/A11_10.wav	 SQValue=3.003	 3.003	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_100.wav	 ./Speech_Noise/20/A11_100.wav	 SQValue=3.063	 3.063	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_102.wav	 ./Speech_Noise/20/A11_102.wav	 SQValue=2.944	 2.944	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_103.wav	 ./Speech_Noise/20/A11_103.wav	 SQValue=3.120	 3.120	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_104.wav	 ./Speech_Noise/20/A11_104.wav	 SQValue=3.058	 3.058	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_105.wav	 ./Speech_Noise/20/A11_105.wav	 SQValue=3.072	 3.072	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_106.wav	 ./Speech_Noise/20/A11_106.wav	 SQValue=3.096	 3.096	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_107.wav	 ./Speech_Noise/20/A11_107.wav	 SQValue=2.984	 2.984	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_108.wav	 ./Speech_Noise/20/A11_108.wav	 SQValue=3.034	 3.034	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_109.wav	 ./Speech_Noise/20/A11_109.wav	 SQValue=3.142	 3.142	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_11.wav	 ./Speech_Noise/20/A11_11.wav	 SQValue=3.037	 3.037	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_110.wav	 ./Speech_Noise/20/A11_110.wav	 SQValue=3.026	 3.026	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_111.wav	 ./Speech_Noise/20/A11_111.wav	 SQValue=3.089	 3.089	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_112.wav	 ./Speech_Noise/20/A11_112.wav	 SQValue=3.047	 3.047	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_113.wav	 ./Speech_Noise/20/A11_113.wav	 SQValue=3.157	 3.157	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_114.wav	 ./Speech_Noise/20/A11_114.wav	 SQValue=3.145	 3.145	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_115.wav	 ./Speech_Noise/20/A11_115.wav	 SQValue=3.020	 3.020	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_116.wav	 ./Speech_Noise/20/A11_116.wav	 SQValue=3.111	 3.111	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_117.wav	 ./Speech_Noise/20/A11_117.wav	 SQValue=3.005	 3.005	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_118.wav	 ./Speech_Noise/20/A11_118.wav	 SQValue=3.009	 3.009	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_12.wav	 ./Speech_Noise/20/A11_12.wav	 SQValue=2.982	 2.982	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_120.wav	 ./Speech_Noise/20/A11_120.wav	 SQValue=3.097	 3.097	 0.000	 0	 16000	0.0000
